earthquake
tsunami
volanic eruption
volcano
hawaii
hot spot
hotspot
hawaiian islands
subduct
compressional
converge
convergent
diverge
divergent
tensional
shearing
transform
fault
folding
collision
stress
fracture
displace
vulcanicity
eruption
tetonic
trench
volcanic island
mid-oceanic ridge
block mountain
crust
mantle
core
lithosphere
asthenosphere
epicentre
focus
seismic waves
plate
plate movement
tetonic hazard
tetonic activity
tetonic activities
ash
